20240927	16:16:03	d957d6c5-6747-4eae-8972-d7469d0c34fd	GET	undefined	/employees
20240927	16:16:15	4f74e815-59c3-4b1d-8b02-4651b4c9ed7f	GET	undefined	/employees
20240927	16:17:02	e338124f-523c-48f3-8375-89575bb219c4	POST	undefined	/employees
20240927	16:17:41	117efe6a-48c8-4e65-82e9-7b73deb7432b	POST	undefined	/employees
20240927	16:18:45	b4980b52-8c2f-4101-b667-b3804b8d8a8d	POST	undefined	/employees
20240927	16:26:31	6e21ae76-1a81-4c5d-8baa-ff7edb8630ec	POST	undefined	/employees
20240927	16:26:44	e38e3856-1984-4e7d-b29e-67bb14dd92c3	POST	undefined	/employees
20240927	16:29:29	dade7837-4a02-4d05-a16b-bb51c0958f49	POST	undefined	/employees
20240927	16:49:19	a5d9d478-9af2-4305-bcff-60be01475187	POST	undefined	/auth
20240927	16:50:05	13fea0f4-be48-418a-9724-6e7879c4997a	POST	undefined	/auth
20240927	16:51:05	83845c77-56e0-4986-b129-fc8ea66f3e25	GET	undefined	/refresh
20240927	16:51:41	73c9f8c6-ef33-46b4-a3e3-b243d9efd92a	POST	undefined	/auth
20240927	16:51:55	b00aa67f-1974-4352-a715-184959a89a32	GET	undefined	/refresh
20240927	16:53:01	6bb513e0-31c0-4191-8291-953cbd9ed0d2	GET	undefined	/refresh
20240927	16:53:02	c05d5539-585c-4c5c-a26a-cdca55b74f02	GET	undefined	/refresh
20240927	16:53:03	b2c9ecac-a806-46a3-9ff9-66b7c108705b	GET	undefined	/refresh
20240927	16:53:04	a1cd5be9-c8d6-45d3-b7b1-413e5da08a1a	GET	undefined	/refresh
20240927	16:53:26	ccd5d785-a107-4e37-874d-1cf2a90aef50	GET	undefined	/refresh
20240927	16:53:32	2d6bb1f2-5ab4-4d97-a30a-2998454b565d	GET	undefined	/refresh
20240927	16:53:36	0120f2a4-cc47-4744-a344-b0049c8fa0b8	GET	undefined	/refresh
20240927	16:53:39	df7f359c-b32c-4758-b001-026781ac1ee8	GET	undefined	/refresh
20240927	17:13:41	04198f02-f0c7-4b94-8c69-58b25eb01699	POST	undefined	/auth
20240927	17:14:01	d300afee-ad89-4f3d-b2d3-09b486a42f3c	POST	undefined	/auth
20240927	17:14:31	300f77ae-8c8f-4d54-b088-c5f183c6a835	GET	undefined	/logout
